0, |, 4.06, 10.26, |, 0, |, 29, 32, 35
1, |, 3.62, 9.39, |, 0, |, 4, 21, 30, 41
2, |, 4.53, 9.89, |, 0, |, 10, 27, 44
3, |, 3.51, 9.77, |, 0, |, 23, 33, 41, 45
4, |, 3.51, 9.27, |, 0, |, 1, 14, 16, 43
5, |, 3.86, 8.55, |, 0, |, 18, 24
6, |, 2.88, 9.22, |, 0, |, 22, 37, 49
7, |, 3.23, 9.66, |, 0, |, 12, 13, 26, 28
9, |, 4.47, 9.39, |, 0, |, 2, 42, 44
10, |, 3.77, 8.79, |, 0, |, 16, 17, 24, 48
11, |, 3.47, 9.56, |, 0, |, 7, 30, 41, 45
12, |, 3.16, 9.69, |, 0, |, 7, 19
13, |, 3.44, 9.36, |, 0, |, 4, 30, 47
14, |, 3.44, 10.43, |, 0, |, 23, 36
15, |, 3.73, 8.97, |, 0, |, 4, 11, 17, 21, 34, 48
16, |, 4.15, 8.89, |, 0, |, 11, 16, 24, 34, 42
17, |, 3.84, 8.52, |, 0, |, 5, 40
18, |, 3.08, 9.6, |, 0, |, 13, 28, 37, 49
19, |, 4.11, 9.59, |, 0, |, 25, 44, 49
20, |, 3.68, 9.35, |, 0, |, 1, 16, 48
21, |, 3, 9.14, |, 0, |, 6, 31, 49
22, |, 3.51, 10.03, |, 0, |, 3, 15, 26, 33, 36
23, |, 3.91, 8.62, |, 0, |, 5, 11, 17
24, |, 3.9, 9.31, |, 0, |, 20, 34, 39, 49
25, |, 3.4, 9.81, |, 0, |, 7, 23, 45
26, |, 4.26, 9.97, |, 0, |, 2, 29, 32, 44
27, |, 3.32, 9.35, |, 0, |, 7, 19, 43, 47, 49
28, |, 3.91, 9.99, |, 0, |, 0, 27, 32, 35, 44, 46, 49
29, |, 3.5, 9.41, |, 0, |, 1, 12, 14
30, |, 3.19, 8.9, |, 0, |, 9, 22, 43
31, |, 4.15, 10.18, |, 0, |, 0, 27, 29
32, |, 3.7, 10, |, 0, |, 3, 23, 36, 41, 46
33, |, 3.92, 9.18, |, 0, |, 16, 17, 25, 42
34, |, 3.92, 10.27, |, 0, |, 0, 29, 36
35, |, 3.72, 10.28, |, 0, |, 15, 23, 33, 35
36, |, 2.43, 9.91, |, 0, |, 6, 19
37, |, 3.78, 9.35, |, 0, |, 25, 48
39, |, 3.63, 9.68, |, 0, |, 1, 3, 12, 33, 49
40, |, 4.48, 9.24, |, 0, |, 10, 17, 34
41, |, 3.34, 9.25, |, 0, |, 4, 28, 31, 47, 49
42, |, 4.2, 9.67, |, 0, |, 2, 10, 20, 27, 29
