0,4
0,7
0,17
0,27
0,28
0,39
0,40
0,49
1,2
1,9
1,12
1,25
1,30
1,34
1,35
1,37
1,45
1,49
2,6
2,12
2,22
2,35
2,45
2,47
2,49
3,8
3,12
3,29
3,30
3,38
3,45
3,47
4,19
4,21
4,40
5,10
5,16
5,18
5,19
5,21
5,32
5,33
5,44
5,46
6,11
6,22
6,40
6,47
7,11
7,26
7,30
7,39
7,49
8,38
8,41
9,12
9,25
9,30
9,34
9,37
9,49
10,14
10,16
10,18
10,20
10,31
10,33
10,36
10,48
11,24
11,26
11,29
12,30
12,34
12,37
12,45
13,38
13,42
14,16
14,18
14,33
14,36
15,18
15,33
16,19
16,21
16,32
16,33
16,36
17,21
17,26
17,27
17,28
17,39
17,40
17,49
18,20
18,33
19,21
19,32
19,46
19,48
20,23
20,27
20,31
20,36
20,44
21,26
21,27
21,43
21,44
22,35
22,40
22,42
23,25
23,26
23,31
23,43
23,98
24,26
24,29
24,44
24,46
24,98
25,26
25,30
25,34
25,37
26,30
26,31
26,39
26,43
26,44
27,28
27,31
27,36
27,39
27,48
28,31
28,36
28,39
29,30
29,47
29,49
30,34
30,37
30,45
31,36
31,43
32,33
32,46
32,48
34,37
34,49
35,40
35,49
37,49
38,42
38,47
39,49
40,49
42,47
43,44
44,46
46,48
50,52
50,65
50,86
51,54
51,56
51,75
51,85
51,86
51,91
51,97
52,76
52,77
52,86
52,129
53,62
53,68
53,69
53,80
53,89
53,106
54,58
54,63
54,72
54,74
54,75
54,76
54,77
54,86
54,87
54,91
54,123
54,126
54,133
55,66
55,68
55,73
55,78
55,90
55,94
55,96
55,119
56,70
56,77
56,85
56,86
56,91
56,110
56,127
56,138
57,59
57,93
57,98
58,73
58,75
58,76
58,86
58,91
59,64
59,84
59,88
59,89
59,106
60,81
60,93
61,66
61,71
61,78
61,85
61,96
61,97
62,67
62,69
62,87
62,92
63,72
63,73
63,83
63,91
63,126
63,133
63,138
64,79
64,82
64,88
64,89
64,98
65,75
65,86
66,70
66,78
66,84
66,85
66,96
66,121
66,138
67,69
67,71
67,82
67,92
67,95
67,99
68,72
68,78
68,87
68,94
68,119
69,79
69,80
69,82
69,89
69,92
70,85
70,138
70,149
71,82
71,87
71,97
71,99
72,73
72,83
72,119
72,123
72,133
72,146
73,87
73,97
74,75
74,87
74,97
76,77
76,86
76,133
77,86
77,110
77,123
77,127
77,133
77,139
77,141
77,147
78,91
78,97
78,126
78,138
79,81
79,82
79,98
80,81
81,93
82,92
82,99
83,101
83,103
83,111
83,119
83,123
83,126
83,127
83,133
83,134
83,142
83,149
84,88
84,94
84,106
84,121
85,91
87,92
87,97
88,95
88,96
89,92
89,94
90,94
90,106
91,97
91,138
92,99
93,98
94,96
94,99
95,96
96,99
100,104
100,136
100,143
100,144
101,111
101,113
101,114
101,121
101,123
101,126
101,142
101,146
101,149
102,108
102,109
102,112
102,120
102,125
102,129
102,130
102,135
102,143
103,108
103,111
103,116
103,128
103,133
103,134
103,137
103,149
104,112
104,115
104,116
104,124
104,132
104,136
104,137
104,140
104,143
105,107
105,109
105,117
105,122
105,131
105,135
106,121
107,125
107,130
108,111
108,112
108,116
108,128
108,129
108,130
108,134
109,117
109,120
109,125
109,131
109,135
109,143
109,144
110,115
110,124
110,127
110,139
110,147
111,116
111,123
111,128
111,133
111,146
111,147
111,149
112,115
112,116
112,120
112,124
112,128
112,129
112,139
112,140
112,145
112,147
113,114
113,119
113,121
113,142
113,146
114,115
114,121
114,132
114,142
114,147
114,148
115,124
115,132
115,137
115,140
115,145
115,147
115,148
116,124
116,128
116,129
116,133
116,137
116,147
117,131
118,122
119,134
119,146
120,124
120,139
120,140
120,143
120,144
121,138
121,142
123,126
123,133
123,146
123,147
124,125
124,136
124,137
124,139
124,140
124,143
124,144
125,129
125,130
125,131
126,127
126,138
126,142
127,133
127,138
127,147
127,149
128,132
128,147
129,130
129,139
130,135
131,135
132,145
133,134
133,137
136,140
136,144
136,148
137,148
137,149
139,141
139,145
140,144
140,145
141,145
142,146
142,149
143,144
145,147
148,149
